n|rsc|org|tag|tagId
0|02|science-and-technology|המדען הראשי|--
0|02|science-and-technology|חוקר|--
0|02|science-and-technology|מחקרים|--
0|02|science-and-technology|קול קורא|--
0|02|science-and-technology|שיתוף פעולה|--
1|03|science-and-technology|מדע|--
2|04|science-and-technology|שיתוף פעולה בינלאומי הסכם|--
3|05|science-and-technology|מדע|--
4|06|science-and-technology|מדע|--
5|062019|mof|תקציב|--
6|14|science-and-technology|מלגות נשים הנדסת אלקטרואופטיקה ביואינפורמטיקה|--
7|17|science-and-technology|טכנולוגיה|--
7|17|science-and-technology|מדע|--
9|19|science-and-technology|חוגים|--
9|19|science-and-technology|מדע|--
10|1minrain|meteorological_service|אקלים|--
10|1minrain|meteorological_service|גשם|--
10|1minrain|meteorological_service|תחנות|--
11|20|science-and-technology|מדע|--
12|2002-31-10-2016|ministry_of_immigrant_absorption|אוכלוסייה|--
12|2002-31-10-2016|ministry_of_immigrant_absorption|עלייה|--
12|2002-31-10-2016|ministry_of_immigrant_absorption|קליטת עלייה|--
13|2004-1997|mof|אוצר וכלכלה|--
13|2004-1997|mof|תקציב|--
14|2005|mof|אוצר וכלכלה|--
14|2005|mof|שינוי תקציב|--
14|2005|mof|שינויים תקציב|--
14|2005|mof|תקציב|--
15|2005-2008|mof|אוצר וכלכלה|--
15|2005-2008|mof|ביצוע|--
15|2005-2008|mof|תקציב|--
16|2005-2011|mof|אוצר וכלכלה|--
16|2005-2011|mof|שינויי תקציב|--
16|2005-2011|mof|שינויים תקציב|--
16|2005-2011|mof|תקציב|--
17|2006|mof|אוצר וכלכלה|--
17|2006|mof|שינויי תקציב|--
17|2006|mof|שינויים תקציב|--
17|2006|mof|תקציב|--
18|2007|mof|אוצר וכלכלה|--
18|2007|mof|שינויי תקציב|--
18|2007|mof|שינויים תקציב|--
18|2007|mof|תקציב|--
19|2008|mof|אוצר וכלכלה|--
19|2008|mof|שינויי תקציב|--
19|2008|mof|שינויים בתקציב|--
19|2008|mof|תקציב|--
20|2009|mof|אוצר וכלכלה|--
20|2009|mof|שינויי תקציב|--
20|2009|mof|שינויים בתקציב|--
20|2009|mof|תקציב|--
21|2009-2011|mof|אוצר וכלכלה|--
21|2009-2011|mof|ביצוע|--
21|2009-2011|mof|תקציב|--
22|2009-2018|ministry_of_immigrant_absorption|גילאים|--
22|2009-2018|ministry_of_immigrant_absorption|ישובים|--
22|2009-2018|ministry_of_immigrant_absorption|עולים|--
22|2009-2018|ministry_of_immigrant_absorption|עלייה|--
22|2009-2018|ministry_of_immigrant_absorption|קליטה|--
22|2009-2018|ministry_of_immigrant_absorption|רשויות|--
23|2010|mof|אוצר וכלכלה|--
23|2010|mof|שינויי תקציב|--
23|2010|mof|שינויים תקציב|--
23|2010|mof|תקציב|--
24|2010-2019|ministry_of_transport|סקר הרגלי נסיעה|--
24|2010-2019|ministry_of_transport|תחבורה|--
25|2011|mof|אוצר וכלכלה|--
25|2011|mof|שינויים תקציב|--
25|2011|mof|תקציב|--
26|2012-2005|mof|אוצר וכלכלה|--
26|2012-2005|mof|תקציב|--
27|2013|social_security|2013|--
27|2013|social_security|אוכלוסיה|--
27|2013|social_security|אוכלוסייה|--
27|2013|social_security|אוצר וכלכלה|--
27|2013|social_security|גמלאות|--
27|2013|social_security|יישוב|--
28|2014|social_security|אוכלוסיה|--
28|2014|social_security|אוצר וכלכלה|--
29|2015-2013|mof|אוצר וכלכלה|--
29|2015-2013|mof|תקציב|--
30|2017|pmo|ביצוע|--
30|2017|pmo|בקרה|--
30|2017|pmo|דוח|--
30|2017|pmo|דיווח|--
30|2017|pmo|החלטות ממשלה|--
30|2017|pmo|ממשל|--
30|2017|pmo|ממשל וחברה|--
30|2017|pmo|מעקב|--
30|2017|pmo|משרד ראש הממשלה|--
30|2017|pmo|פיקוח|--
30|2017|pmo|תכנון|--
30|2017|pmo|תרבות ארגונית|--
31|2017-2018|mof|אוצר|--
31|2017-2018|mof|אוצר וכלכלה|--
31|2017-2018|mof|משרד האוצר|--
31|2017-2018|mof|תקציב|--
32|2018|religion-office|דת|--
32|2018|religion-office|מקוואות|--
32|2018|religion-office|שירותי דת|--
33|2018-2017|mof|אוצר וכלכלה|--
33|2018-2017|mof|תקציב|--
34|2019infrastructure|pmo|משרד האוצר|--
34|2019infrastructure|pmo|משרד האנרגיה|--
34|2019infrastructure|pmo|משרד החינוך|--
34|2019infrastructure|pmo|משרד התחבורה והבטיחות בדרכים|--
34|2019infrastructure|pmo|משרד התקשורת|--
34|2019infrastructure|pmo|משרד ראש הממשלה|--
34|2019infrastructure|pmo|תשתיות|--
35|2020|pmo|משרד האוצר|--
35|2020|pmo|משרד האנרגיה|--
35|2020|pmo|משרד התחבורה|--
35|2020|pmo|משרד התחבורה והבטיחות בדרכים|--
35|2020|pmo|משרד התקשורת|--
35|2020|pmo|משרד ראש הממשלה|--
35|2020|pmo|תשתיות|--
37|2030|ministry_of_transport|2030|--
37|2030|ministry_of_transport|GIS|--
37|2030|ministry_of_transport|ממג|--
37|2030|ministry_of_transport|מקומות עבודה|--
37|2030|ministry_of_transport|צפיפות|--
38|206|ministry_of_the_environment|חוף|--
38|206|ministry_of_the_environment|חוף נקי|--
38|206|ministry_of_the_environment|סביבה|--
39|209|ministry_of_the_environment|ארגונים|--
39|209|ministry_of_the_environment|בעלי חיים|--
39|209|ministry_of_the_environment|חיות|--
39|209|ministry_of_the_environment|סביבה|--
39|209|ministry_of_the_environment|עמותות|--
40|21|science-and-technology|מדע|--
41|257|ministry_of_transport|בקרה מרחבית|--
41|257|ministry_of_transport|טיסות אזרחיות|--
41|257|ministry_of_transport|מודיעין טיס|--
41|257|ministry_of_transport|מידע תעופתי פנים ארצי|--
41|257|ministry_of_transport|תחבורה|--
41|257|ministry_of_transport|תעבורה אווירית|--
42|258|ministry_of_transport|בטיחות|--
42|258|ministry_of_transport|דוחות חקירה בטיחותיים|--
42|258|ministry_of_transport|טיסה|--
42|258|ministry_of_transport|טיסות|--
42|258|ministry_of_transport|תחבורה|--
43|276|airport_authority|אוצר וכלכלה|--
43|276|airport_authority|חינוך ותרבות|--
44|278|airport_authority|אוכלוסיה|--
44|278|airport_authority|כתובות|--
44|278|airport_authority|מעברי גבול|--
44|278|airport_authority|שדות תעופה|--
44|278|airport_authority|תחבורה|--
45|280|airport_authority|אוכלוסיה|--
45|280|airport_authority|סביבה|--
45|280|airport_authority|תחבורה|--
46|285|social_security|ביטוח לאומי|--
46|285|social_security|בריאות ורווחה|--
46|285|social_security|סביבה|--
46|285|social_security|סניפים|--
47|287|social_security|אוצר וכלכלה|--
47|287|social_security|ביטוח לאומי|--
47|287|social_security|בריאות ורווחה|--
47|287|social_security|קיצבאות|--
48|288|social_security|אוצר וכלכלה|--
48|288|social_security|ביטוח לאומי|--
48|288|social_security|שכר מינימום|--
49|289|social_security|אוצר וכלכלה|--
49|289|social_security|ביטוח לאומי|--
49|289|social_security|בריאות ורווחה|--
49|289|social_security|שכיר|--
50|29|science-and-technology|מדע|--
50|29|science-and-technology|קייטנות|--
50|29|science-and-technology|קיץ|--
51|290|social_security|אוצר וכלכלה|--
51|290|social_security|ביטוח לאומי|--
51|290|social_security|בריאות ורווחה|--
51|290|social_security|עצמאי|--
52|291|social_security|אוצר וכלכלה|--
52|291|social_security|ביטוח לאומי|--
52|291|social_security|לא שכירים|--
53|292|social_security|אוצר וכלכלה|--
53|292|social_security|ביטוח לאומי|--
53|292|social_security|דמי ביטוח לאומי|--
53|292|social_security|הכנסה מזערית|--
53|292|social_security|הכנסה מירבות|--
53|292|social_security|מעסיק|--
53|292|social_security|תקרת הכנסה|--
54|293|social_security|אוצר וכלכלה|--
54|293|social_security|ביטוח לאומי|--
54|293|social_security|דמי ביטוח|--
54|293|social_security|הכנסה מזערית|--
54|293|social_security|הכנסה מירבות|--
54|293|social_security|תקרת הכנסה|--
