n|rsc|name|format|dateCr|dateMo|id|size
0|02|מאגר מחקרים מאוחד 2012-2024|CSV|2022-05-25|2025-03-24|5a99a36e-1222-4ca9-b881-37409c67fd79|1176093
1|03|ארגונים בינלאומיים בתחום המדע |XLSX|2017-11-15|2017-11-15|5ac4b32b-f67b-46ff-a936-8916cc5292c2|None
2|04|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|CSV|2019-11-11|2019-11-11|96c792d5-d33c-472d-8bf3-ef6d59dfc4c8|1455
3|05|מדינות - הסכמי שיתוף פעולה מדעי דו-לאומי|XLSX|2017-11-15|2017-11-20|e78841f7-aeb5-413a-a609-5842897f9b0a|None
4|06|חברי המועצה לקידום נשים במדע ובטכנולוגיה|XLSX|2017-11-15|2017-11-15|c9ae96f3-1cbe-46ff-a759-fe938edea56c|None
5|062019|אומדן ביצוע תקציב ליום 30 ביוני 2019 לא מבוקר.xlsx|XLSX|2019-08-15|2019-08-15|6f5fa994-3104-46a7-b9f0-437a60bd5407|46234
6|14|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|CSV|2019-11-11|2019-11-11|55a7aba5-49b7-49a3-a1b0-4abdccf0135a|9378
7|17|מרכזי להב"ה|XLSX|2017-11-15|2017-11-20|83bead53-7e53-441b-9567-c9bc76e91e78|None
8|18|מרכז מחקר ופיתוח|XLSX|2018-10-09|2019-07-23|1c185ce1-b285-471e-a167-db4b606a11e0|11533
9|19|חוגי מדע|XLSX|2017-11-15|2017-11-20|34c19798-754e-42ba-b877-6ce782b1439e|None
10|1997|טופומומסטיקון|ZIP|2024-03-27|2024-04-17|dbd28d01-fb8a-40be-ac06-85632dea129b|40752078
11|1minrain|רשימת תחנות גשם דקתי ונוסחת היצרן של מד הגשם לתיקון הערכים|PDF|2021-06-14|2022-02-08|9fe6501d-48bd-4c8b-90bd-4cece99e8907|395587
11|1minrain|Haifa_Port_29012009_13062011|CSV|2021-03-15|2021-06-14|4bf14a6e-a767-41f6-8d66-7d40e17b2e6d|249486
11|1minrain|Merhavia_02032009_14042017|CSV|2021-03-15|2021-06-14|642f3b1b-6b5b-495c-afee-39c482c1f791|1473660
11|1minrain|Shaare Tiqwa_24012009_03122016|CSV|2021-03-15|2021-06-14|14cc2c72-bd0d-41a1-91eb-2e0f2187b92f|1837696
11|1minrain|Afeq_24012009_30112021|CSV|2021-05-19|2022-02-08|20b6382f-ae60-4820-8664-fd8a23bef96c|1492200
11|1minrain|Afula_Nir_Haemeq_21042009_30112021|CSV|2021-05-19|2022-02-08|605890f7-3851-422f-8393-39bd573c2069|1747561
11|1minrain|Ammiad_31012009_30112021|CSV|2021-05-19|2022-02-08|d050ce72-742f-407a-8769-619c5cfbb173|1884901
11|1minrain|Arad_08012006_30112021|CSV|2021-05-19|2022-02-08|f8c9646b-828c-4e61-809f-676f7dd16bfe|573539
11|1minrain|Ariel_04012006_30112021|CSV|2021-05-19|2022-02-08|326e58de-7b1c-43bb-93cc-1e871b37b607|2042672
11|1minrain|Ashalim_10042018_30112021|CSV|2021-05-19|2022-02-08|a5327878-69e4-4639-bad9-64dad76b4844|70441
11|1minrain|Ashdod_Port_24092007_30112021|CSV|2021-05-19|2022-02-08|49a81944-4e09-4628-947f-7447f53d629f|1164190
11|1minrain|Ashqelon_Port_23012009_30112021|CSV|2021-05-19|2022-02-08|63d0ac1a-2329-498a-b723-d02ef29a4c81|804812
